,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
3830,WESTCHESTER CO DEPT ENV FAC,NYL026719,NEW ROCHELLE,NY,2,2022,2023-02-19T13:26:32.431-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,511.0,0,,Incineration,,,511.0,,,other_system
3831,"AZTEC, CITY OF - WWTP",NML020168,AZTEC,NM,6,2022,2023-02-19T13:37:41.467-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,74.0,0,,Other Management Practice,,,,74.0,Not Applicable,other_system
3833,SALIDA CITY OF,COL040339,SALIDA,CO,8,2022,2023-02-19T16:47:05.110-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",157.0,0,,Land Application,157.0,,,,Class A,other_system
3836,PRASA MOROVIS,PRL020711,MOROVIS,PR,2,2022,2023-02-21T16:14:41.965-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,33.67,0,,Other Management Practice,,,,33.67,Class B,other_system
3837,PRASA NARANJITO,PRL020737,NARANJITO,PR,2,2022,2023-02-21T16:16:38.859-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,61.58,0,,Other Management Practice,,,,61.58,Class B,other_system
3838,PRASA TOA ALTA WWTP,PRL020869,TOA ALTA,PR,2,2022,2023-02-21T16:17:54.508-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,14.41,0,,Land Application,14.41,,,,Class A,other_system
3840,PRASA CAROLINA RWWTP,PRL023752,SAN JUAN,PR,2,2022,2023-02-21T16:19:34.329-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",366.08,0,,Other Management Practice,,,,366.08,Class B,other_system
3843,PRASA VEGA BAJA STP,PRL021679,VEGA BAJA,PR,2,2022,2023-02-21T16:21:09.162-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",305.3,0,,"Other Management Practice, Land Application",266.56,,,38.74,"Class B, Class A",other_system
3844,MINDEN-GARDNERVILLE SD WWTP,NVL000057,MINDEN,NV,9,2022,2023-02-19T19:14:18.836-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,203.0,0,,Land Application,203.0,,,,Class B,other_system
3849,QUONSET POINT WWTF,RIL100404,NORTH KINGSTOWN,RI,1,2022,2023-02-20T08:58:36.517-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",236.07,0,,Other Management Practice,,,,236.07,Not Applicable,other_system
3850,"HAYS, CITY OF",KSL036684,HAYS,KS,7,2022,2023-02-20T12:43:09.281-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",668.0,0,,Land Application,504.0,,,,Class B,other_system
3852,CITY OF ALGONA,IAL022055,ALGONA,IA,7,2022,2023-02-21T13:15:15.768-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,63.34,0,,Land Application,63.34,,,,Class B,other_system
3853,YREKA WWTP,CAL010509,YREKA,CA,9,2022,2023-02-20T13:03:51.125-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,128.48,0,,Other Management Practice,,,,128.48,Class B,other_system
3854,CITY OF GRINNELL,IAL031186,GRINNELL,IA,7,2022,2023-02-20T14:37:18.808-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,171.06,0,,Land Application,171.06,,,,Class B,other_system
3856,EAGLE TOWN OF,COL048241,EAGLE,CO,8,2022,2023-02-20T15:10:28.372-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,117.68,0,,Other Management Practice,,,,117.68,Not Applicable,other_system
3857,"PORTALES, CITY OF - WWTP",NML000008,PORTALES,NM,6,2022,2023-02-28T15:29:52.287-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",17.5,0,,Other Management Practice,,,,17.15,Class A,other_system
3858,HORNELL (C),NYL023647,HORNELL,NY,2,2022,2023-02-23T10:25:54.659-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,291.1,0,,Land Application,291.1,,,,Class B,other_system
3859,ORO LOMA WWTF,CAL000484,SAN LORENZO,CA,9,2022,2023-02-20T15:56:40.951-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,4991.88,0,,Land Application,7410.13,,,,Class A,other_system
3860,GWA HAGATNA WWTP,GUL020087,MANGILAO,GU,9,2022,2023-02-20T20:45:15.076-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,214.0,0,,Other Management Practice,,,,214.0,Not Applicable,other_system
3861,GWA NORTHERN DISTRICT WWTP,GUL020141,MANGILAO,GU,9,2022,2023-02-20T20:51:18.310-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,367.0,0,,Other Management Practice,,,,367.0,Not Applicable,other_system
3862,GUAM WATERWORKS AUTHORITY,GUL020222,HAGATNA,GU,9,2022,2023-02-20T20:56:47.642-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,57.0,0,,Other Management Practice,,,,57.0,Not Applicable,other_system
3863,SANTA MARIA WWTP,CAL000405,SANTA MARIA,CA,9,2022,2023-02-21T16:19:20.199-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1307.77,0,,Other Management Practice,,,,3292.95,Class B,other_system
3866,CONNERSVILLE WWTP,INL032336,CONNERSVILLE,IN,5,2022,2023-02-21T15:35:40.166-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",392.8,0,,"Other Management Practice, Land Application",273.7,,,59.6,Class B,other_system
3867,"KENNECOTT UTAH COPPER, LLC",UTL000051,SALT LAKE CITY,UT,8,2022,2023-02-21T14:01:58.048-0500,Other,0.93,0,,Other Management Practice,,,,0.93,Not Applicable,other_system
3870,LYSTEK INTERNATIONAL,CAL000001,FAIRFIELD,CA,9,2022,2023-02-21T11:44:12.082-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,10635.0,0,,Land Application,10635.0,,,,Class A,other_system
3872,CITY OF AURORA,MOL036757,AURORA,MO,7,2022,2023-02-21T11:31:48.947-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.56,0,,Land Application,104.12,,,,Class B,other_system
3877,MONTAGUE WPCF,MAL100137,MONTAGUE,MA,1,2022,2023-02-22T11:05:21.807-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,943.54,0,,Other Management Practice,,,,943.54,Not Applicable,other_system
3884,WESTERLY TOWN HALL,RIL100064,WESTERLY,RI,1,2022,2023-02-21T14:37:48.463-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",545.4,0,,Other Management Practice,,,,545.4,Not Applicable,other_system
3885,BARSTOW WWTF,CAL010517,BARSTOW,CA,9,2022,2023-02-21T15:24:27.248-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1283.08,0,,Other Management Practice,,,,2566.16,Not Applicable,other_system
3887,KIHEI WASTEWATER RECLAMATION FACILITY,HIL001309,KIHEI,HI,9,2022,2023-02-21T15:25:36.006-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",910.77,0,,Other Management Practice,,,,910.77,Not Applicable,other_system
3892,COACHELLA AVENUE 54 WWTP,CAL104493,COACHELLA,CA,9,2022,2023-02-21T17:42:33.084-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",339.57,0,,Other Management Practice,,,,339.57,Class B,other_system
3897,ALLIANCE WATER RESOURCES,MOL104299,CAMERON,MO,7,2022,2023-02-21T18:17:58.509-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,585.5,0,,Land Application,585.5,,,,Class B,other_system
3898,CORCORAN WWTP,CAL001074,CORCORAN,CA,9,2022,2023-02-21T17:50:37.420-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,6.0,0,,Surface Disposal,,6.0,,,Class A,other_system
3899,"TAOS, TOWN OF",NML024066,RANCHO DE TAOS,NM,6,2022,2023-02-28T14:04:26.859-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,351.13,0,,Other Management Practice,,,,351.13,Class B,other_system
3900,EAST BAY MUD WWTP,CAL037702,OAKLAND,CA,9,2022,2023-02-21T18:39:05.141-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",15349.31,0,,"Land Application, Other Management Practice",11821.6,,,3527.71,Class B,other_system
3901,CITY OF NEW HAMPTON,IAL028525,NEW HAMPTON,IA,7,2022,2023-02-21T21:25:22.072-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,67.74,0,,Land Application,67.74,,,,Class B,other_system
3903,CITY OF CARROLLTON,MOL096318,CARROLLTON,MO,7,2022,2023-02-22T09:29:28.196-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,11.8,0,,Land Application,11.8,,,,Class B,other_system
3904,TOWN OF MANCHESTER,CTL100293,MANCHESTER,CT,1,2022,2023-02-28T08:27:55.143-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1488.51,0,,Other Management Practice,,,,1488.51,Not Applicable,other_system
3905,BERGEN CNTY WTP,NJL020028,EDGEWATER,NJ,2,2022,2023-02-22T09:45:41.712-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1118.52,0,,Other Management Practice,,,,1118.52,Class A,other_system
3906,BERGEN CNTY UTILITIES AUTHORIT (LITTLE FERRY),NJL198048,LITTLE FERRY,NJ,2,2022,2023-02-22T10:02:17.140-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",10968.24,0,,Other Management Practice,,,,10968.24,Class A,other_system
3907,TRINIDAD CITY OF,COL024015,TRINIDAD,CO,8,2022,2023-02-22T11:11:51.744-0500,Other,0.88,0,,Other Management Practice,,,,0.88,Class B,other_system
3909,UPPER BLUE SANITATION DISTRICT,COL021539,BRECKENRIDGE,CO,8,2022,2023-02-22T12:33:38.540-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,700.0,0,,Other Management Practice,,,,700.0,Class B,other_system
3914,WESTCHESTER CO DEPT ENV FAC,NYL108324,NEW ROCHELLE,NY,2,2022,2023-02-22T12:01:39.886-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,930.33,0,,Incineration,,,930.35,,,other_system
3915,UPPER BLUE SANITATION DIST,COL045420,BRECKENRIDGE,CO,8,2022,2023-02-22T12:50:04.836-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Class B,other_system
3916,CHISHOLM CK UTILITY AUTHORITY,KSL089176,PARK CITY,KS,7,2022,2023-02-22T16:29:07.218-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1265.2,0,,Land Application,1265.2,,,,Class B,other_system
3923,HEALDSBURG WRF,CAL025135,HEALDSBURG,CA,9,2022,2023-02-23T11:39:07.851-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",384.0,0,,Other Management Practice,,,,384.0,Class B,other_system
3928,PENN YAN (V) MUNICIPAL BOARD,NYL029726,PENN YAN,NY,2,2022,2023-02-23T11:05:11.183-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,252.0,0,,"Land Application, Other Management Practice",104.0,,,953.0,"Class A EQ, Not Applicable",other_system
3933,CITY OF PUNTA GORDA WWTP,FLL118371,PUNTA GORDA,FL,4,2022,2023-02-24T10:02:45.742-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",457.0,0,,Land Application,457.0,,,,Class B,other_system
3937,OCEAN CITY REG WASTEWATER TF,NJL035343,OCEAN CITY,NJ,2,2022,2023-02-27T15:58:29.361-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",584.4,0,,"Incineration, Other Management Practice",,,475.74,108.38,"Class A, Not Applicable",other_system
3938,MANCHESTER-SHORTVILLE JNT SB,NYL030813,MANCHESTER,NY,2,2022,2023-02-23T13:05:38.754-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,59.0,0,,Other Management Practice,,,,59.0,Class A,other_system
3939,AQUA ILLINOIS-UNIV PARK,ILL024473,UNIVERSITY PARK,IL,5,2022,2023-02-24T10:15:22.533-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,446.45,0,,Land Application,537.0,,,,Class B,other_system
3940,NW AR CONSERVATION AUTHORITY,ARL050024,BENTONVILLE,AR,6,2022,2023-02-23T15:14:30.255-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",753.9,0,,Other Management Practice,,,,753.9,Not Applicable,other_system
3941,SEWERAGE AGENCY OF SOUTHERN MARIN,CAL037711,MILL VALLEY,CA,9,2022,2023-02-23T17:03:09.315-0500,"A POTW that serves 10,000 people or more",309.0,0,,Other Management Practice,,,,309.0,Class B,other_system
3942,PACIFICA CALERA CREEK WRF,CAL038776,PACIFICA,CA,9,2022,2023-02-23T21:17:05.963-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",323.53,0,,Land Application,323.53,,,,Class B,other_system
3947,CITY OF LEBANON,MOL089010,LEBANON,MO,7,2022,2023-02-27T16:03:25.796-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",289.0,0,,Land Application,230.0,,,,Class B,other_system
3951,PINE BROOK STP,NJL023728,MANALAPAN TOWNSHIP,NJ,2,2022,2023-02-24T12:44:25.593-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",670.0,0,,Other Management Practice,,,,670.0,Class B,other_system
3960,WASHINGTON COUNTY,NYL183695,FORT EDWARD,NY,2,2022,2023-02-27T13:01:37.539-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",104.7,0,,"Land Application, Other Management Practice",104.7,,,104.7,Class A,other_system
3965,"AUGUSTA, CITY OF",KSL094561,AUGUSTA,KS,7,2022,2023-02-27T11:38:16.388-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,162.32,0,,Land Application,162.31,,,,Class B,other_system
3966,CITY OF MONETT,MOL021440,MONETT,MO,7,2022,2023-02-27T11:53:52.353-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,287.0,0,,Land Application,574.0,,,,Class B,other_system
3967,POUGHKEEPSIE (C),NYL026255,POUGHKEEPSIE,NY,2,2022,2023-02-27T14:47:31.238-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1281.8,0,,Other Management Practice,,,,1281.8,Class B,other_system
3968,CITY OF ROCKWELL CITY,IAL033138,ROCKWELL CITY,IA,7,2022,2023-02-28T16:43:10.380-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Class B,other_system
3970,PALMYRA STP,NJL024449,PALMYRA,NJ,2,2022,2023-02-28T11:45:59.998-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,40.54,0,,Incineration,,,40.54,,,other_system
3971,"PAOLA, CITY OF",KSL097616,PAOLA,KS,7,2022,2023-02-28T11:00:23.329-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,82.52,0,,Land Application,82.52,,,,Class B,other_system
3973,WOODCLIFF SEWERAGE TREATMENT,NJL029084,NORTH BERGEN,NJ,2,2022,2023-02-27T13:24:37.479-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,308.67,0,,Other Management Practice,,,,308.67,Class A,other_system
3975,AURORA WWTF,NEL031810,AURORA,NE,7,2022,2023-02-27T15:02:30.551-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,59.0,0,,Other Management Practice,,,,59.0,Class B,other_system
